Asset,Month,Dividend_Per_Share,Income_on_100k_Initial_Investment
PIMIX,2011-01,0.056,506.78732156904886
PIMIX,2011-02,0.053,479.6380007707069
PIMIX,2011-03,0.053,479.6380007707069
PIMIX,2011-04,0.051,461.5384535718123
PIMIX,2011-05,0.055,497.7375479696015
PIMIX,2011-06,0.053,479.6380007707069
PIMIX,2011-07,0.053,479.6380007707069
PIMIX,2011-08,0.053,479.6380007707069
PIMIX,2011-09,0.05,452.48867997236505
PIMIX,2011-10,0.056,506.78732156904886
PIMIX,2011-11,0.053,479.6380007707069
PIMIX,2011-12,0.297,2687.7827590358484
PIMIX,2012-01,0.056,506.78732156904886
PIMIX,2012-02,0.056,506.78732156904886
PIMIX,2012-03,0.054,488.6877743701542
PIMIX,2012-04,0.057,515.8370951684961
PIMIX,2012-05,0.056,506.78732156904886
PIMIX,2012-06,0.054,488.6877743701542
PIMIX,2012-07,0.057,515.8370951684961
PIMIX,2012-08,0.051,461.5384535718123
PIMIX,2012-09,0.06,542.986415966838
PIMIX,2012-10,0.056,506.78732156904886
PIMIX,2012-11,0.052,470.58822717125963
PIMIX,2012-12,0.22299999999999998,2018.099512676748
PIMIX,2013-01,0.057,515.8370951684961
PIMIX,2013-02,0.056,506.78732156904886
PIMIX,2013-03,0.056,506.78732156904886
PIMIX,2013-04,0.056,506.78732156904886
PIMIX,2013-05,0.052,470.58822717125963
PIMIX,2013-06,0.059,533.9366423673907
PIMIX,2013-07,0.056,506.78732156904886
PIMIX,2013-08,0.052,470.58822717125963
PIMIX,2013-09,0.059,533.9366423673907
PIMIX,2013-10,0.056,506.78732156904886
PIMIX,2013-11,0.054,488.6877743701542
PIMIX,2013-12,0.074,669.6832463591003
PIMIX,2014-01,0.054,488.6877743701542
PIMIX,2014-02,0.055,497.7375479696015
PIMIX,2014-03,0.06,542.986415966838
PIMIX,2014-04,0.056,506.78732156904886
PIMIX,2014-05,0.054,488.6877743701542
PIMIX,2014-06,0.057,515.8370951684961
PIMIX,2014-07,0.056,506.78732156904886
PIMIX,2014-08,0.054,488.6877743701542
PIMIX,2014-09,0.057,515.8370951684961
PIMIX,2014-10,0.056,506.78732156904886
PIMIX,2014-11,0.056,506.78732156904886
PIMIX,2014-12,0.191,1728.5067574944344
PIMIX,2015-01,0.056,506.78732156904886
PIMIX,2015-02,0.056,506.78732156904886
PIMIX,2015-03,0.056,506.78732156904886
PIMIX,2015-04,0.056,506.78732156904886
PIMIX,2015-05,0.056,506.78732156904886
PIMIX,2015-06,0.056,506.78732156904886
PIMIX,2015-07,0.056,506.78732156904886
PIMIX,2015-08,0.056,506.78732156904886
PIMIX,2015-09,0.056,506.78732156904886
PIMIX,2015-10,0.056,506.78732156904886
PIMIX,2015-11,0.056,506.78732156904886
PIMIX,2015-12,0.315,2850.6786838259
PIMIX,2016-01,0.056,506.78732156904886
PIMIX,2016-02,0.056,506.78732156904886
PIMIX,2016-03,0.056,506.78732156904886
PIMIX,2016-04,0.056,506.78732156904886
PIMIX,2016-05,0.056,506.78732156904886
PIMIX,2016-06,0.056,506.78732156904886
PIMIX,2016-07,0.056,506.78732156904886
PIMIX,2016-08,0.056,506.78732156904886
PIMIX,2016-09,0.056,506.78732156904886
PIMIX,2016-10,0.056,506.78732156904886
PIMIX,2016-11,0.056,506.78732156904886
PIMIX,2016-12,0.056,506.78732156904886
PIMIX,2017-01,0.056,506.78732156904886
PIMIX,2017-02,0.056,506.78732156904886
PIMIX,2017-03,0.056,506.78732156904886
PIMIX,2017-04,0.056,506.78732156904886
PIMIX,2017-05,0.056,506.78732156904886
PIMIX,2017-06,0.056,506.78732156904886
PIMIX,2017-07,0.056,506.78732156904886
PIMIX,2017-08,0.056,506.78732156904886
PIMIX,2017-09,0.056,506.78732156904886
PIMIX,2017-10,0.056,506.78732156904886
PIMIX,2017-11,0.056,506.78732156904886
PIMIX,2017-12,0.056,506.78732156904886
PIMIX,2018-01,0.056,506.78732156904886
PIMIX,2018-02,0.056,506.78732156904886
PIMIX,2018-03,0.056,506.78732156904886
PIMIX,2018-04,0.056,506.78732156904886
PIMIX,2018-05,0.056,506.78732156904886
PIMIX,2018-06,0.056,506.78732156904886
PIMIX,2018-07,0.056,506.78732156904886
PIMIX,2018-08,0.061,552.0361895662853
PIMIX,2018-09,0.05,452.48867997236505
PIMIX,2018-10,0.056,506.78732156904886
PIMIX,2018-11,0.056,506.78732156904886
PIMIX,2018-12,0.056,506.78732156904886
PIMIX,2019-01,0.056,506.78732156904886
PIMIX,2019-02,0.056,506.78732156904886
PIMIX,2019-03,0.056,506.78732156904886
PIMIX,2019-04,0.056,506.78732156904886
PIMIX,2019-05,0.056,506.78732156904886
PIMIX,2019-06,0.056,506.78732156904886
PIMIX,2019-07,0.056,506.78732156904886
PIMIX,2019-08,0.056,506.78732156904886
PIMIX,2019-09,0.056,506.78732156904886
PIMIX,2019-10,0.056,506.78732156904886
PIMIX,2019-11,0.056,506.78732156904886
PIMIX,2019-12,0.09,814.4796239502571
PIMIX,2020-01,0.056,506.78732156904886
PIMIX,2020-02,0.056,506.78732156904886
PIMIX,2020-03,0.056,506.78732156904886
PIMIX,2020-04,0.056,506.78732156904886
PIMIX,2020-05,0.056,506.78732156904886
PIMIX,2020-06,0.056,506.78732156904886
PIMIX,2020-07,0.056,506.78732156904886
PIMIX,2020-08,0.04,361.990943977892
PIMIX,2020-09,0.04,361.990943977892
PIMIX,2020-10,0.04,361.990943977892
PIMIX,2020-11,0.04,361.990943977892
PIMIX,2020-12,0.04,361.990943977892
PIMIX,2021-01,0.04,361.990943977892
PIMIX,2021-02,0.04,361.990943977892
PIMIX,2021-03,0.04,361.990943977892
PIMIX,2021-04,0.04,361.990943977892
PIMIX,2021-05,0.04,361.990943977892
PIMIX,2021-06,0.04,361.990943977892
PIMIX,2021-07,0.04,361.990943977892
PIMIX,2021-08,0.04,361.990943977892
PIMIX,2021-09,0.04,361.990943977892
PIMIX,2021-10,0.04,361.990943977892
PIMIX,2021-11,0.04,361.990943977892
PIMIX,2021-12,0.04,361.990943977892
PIMIX,2022-01,0.04,361.990943977892
PIMIX,2022-02,0.04,361.990943977892
PIMIX,2022-03,0.04,361.990943977892
PIMIX,2022-04,0.04,361.990943977892
PIMIX,2022-05,0.04,361.990943977892
PIMIX,2022-06,0.046,416.2895855745758
PIMIX,2022-07,0.046,416.2895855745758
PIMIX,2022-08,0.046,416.2895855745758
PIMIX,2022-09,0.055,497.7375479696015
PIMIX,2022-10,0.055,497.7375479696015
PIMIX,2022-11,0.055,497.7375479696015
PIMIX,2022-12,0.159,1438.9140023121208
PIMIX,2023-01,0.055,497.7375479696015
PIMIX,2023-02,0.055,497.7375479696015
PIMIX,2023-03,0.055,497.7375479696015
PIMIX,2023-04,0.055,497.7375479696015
PIMIX,2023-05,0.055,497.7375479696015
PIMIX,2023-06,0.055,497.7375479696015
PIMIX,2023-07,0.055,497.7375479696015
PIMIX,2023-08,0.055,497.7375479696015
PIMIX,2023-09,0.055,497.7375479696015
PIMIX,2023-10,0.055,497.7375479696015
PIMIX,2023-11,0.055,497.7375479696015
PIMIX,2023-12,0.055,497.7375479696015
PIMIX,2024-01,0.055,497.7375479696015
PIMIX,2024-02,0.055,497.7375479696015
PIMIX,2024-03,0.055,497.7375479696015
PIMIX,2024-04,0.055,497.7375479696015
PIMIX,2024-05,0.055,497.7375479696015
PIMIX,2024-06,0.055,497.7375479696015
PIMIX,2024-07,0.055,497.7375479696015
PIMIX,2024-08,0.055,497.7375479696015
PIMIX,2024-09,0.055,497.7375479696015
PIMIX,2024-10,0.055,497.7375479696015
PIMIX,2024-11,0.055,497.7375479696015
PIMIX,2024-12,0.055,497.7375479696015
PIMIX,2025-01,0.055,497.7375479696015
PIMIX,2025-02,0.055,497.7375479696015
PIMIX,2025-03,0.055,497.7375479696015
PIMIX,2025-04,0.055,497.7375479696015
PIMIX,2025-05,0.055,497.7375479696015
PIMIX,2025-06,0.055,497.7375479696015
PIMIX,2025-07,0.055,497.7375479696015
PIMIX,2025-08,0.055,497.7375479696015
PIMIX,2025-09,0.055,497.7375479696015
PIMIX,2025-10,0.055,497.7375479696015
PIMIX,2025-11,0.055,497.7375479696015
PIMIX,2025-12,0.055,497.7375479696015
PIMIX,2026-01,0.055,497.7375479696015
PIMIX,2026-02,0.048,434.3891327734704
PIMIX,2026-03,0.048,434.3891327734704
PIMIX,2026-04,0.048,434.3891327734704
PIMIX,2026-05,0.048,434.3891327734704
JPIE,2014-11,0.22950794747153547,434.78259360255225
JPIE,2014-12,0.25085752398051553,475.2274860306967
JPIE,2015-01,0.25085752398051553,475.2274860306967
JPIE,2015-02,0.22950794747153547,434.78259360255225
JPIE,2015-03,0.22950794747153547,434.78259360255225
JPIE,2015-04,0.22950794747153547,434.78259360255225
JPIE,2015-05,0.22950794747153547,434.78259360255225
JPIE,2015-06,0.22950794747153547,434.78259360255225
JPIE,2015-07,0.22950794747153547,434.78259360255225
JPIE,2015-08,0.22950794747153547,434.78259360255225
JPIE,2015-09,0.22950794747153547,434.78259360255225
JPIE,2015-10,0.22950794747153547,434.78259360255225
JPIE,2015-11,0.22950794747153547,434.78259360255225
JPIE,2015-12,0.25619491810776057,485.33870913773285
JPIE,2016-01,0.22950794747153547,434.78259360255225
JPIE,2016-02,0.22950794747153547,434.78259360255225
JPIE,2016-03,0.22950794747153547,434.78259360255225
JPIE,2016-04,0.22950794747153547,434.78259360255225
JPIE,2016-05,0.22950794747153547,434.78259360255225
JPIE,2016-06,0.22950794747153547,434.78259360255225
JPIE,2016-07,0.22950794747153547,434.78259360255225
JPIE,2016-08,0.22950794747153547,434.78259360255225
JPIE,2016-09,0.22950794747153547,434.78259360255225
JPIE,2016-10,0.22950794747153547,434.78259360255225
JPIE,2016-11,0.22950794747153547,434.78259360255225
JPIE,2016-12,0.22950794747153547,434.78259360255225
JPIE,2017-01,0.2188331592170455,414.5601473884802
JPIE,2017-02,0.2188331592170455,414.5601473884802
JPIE,2017-03,0.2188331592170455,414.5601473884802
JPIE,2017-04,0.2348453415987805,444.8938167095884
JPIE,2017-05,0.2188331592170455,414.5601473884802
JPIE,2017-06,0.2188331592170455,414.5601473884802
JPIE,2017-07,0.2188331592170455,414.5601473884802
JPIE,2017-08,0.2188331592170455,414.5601473884802
JPIE,2017-09,0.2188331592170455,414.5601473884802
JPIE,2017-10,0.2188331592170455,414.5601473884802
JPIE,2017-11,0.2188331592170455,414.5601473884802
JPIE,2017-12,0.31490625350745566,596.5621633151299
JPIE,2018-01,0.2188331592170455,414.5601473884802
JPIE,2018-02,0.2188331592170455,414.5601473884802
JPIE,2018-03,0.2188331592170455,414.5601473884802
JPIE,2018-04,0.2188331592170455,414.5601473884802
JPIE,2018-05,0.2188331592170455,414.5601473884802
JPIE,2018-06,0.2188331592170455,414.5601473884802
JPIE,2018-07,0.2188331592170455,414.5601473884802
JPIE,2018-08,0.2188331592170455,414.5601473884802
JPIE,2018-09,0.2188331592170455,414.5601473884802
JPIE,2018-10,0.2188331592170455,414.5601473884802
JPIE,2018-11,0.2188331592170455,414.5601473884802
JPIE,2018-12,0.2188331592170455,414.5601473884802
JPIE,2019-01,0.2188331592170455,414.5601473884802
JPIE,2019-02,0.2188331592170455,414.5601473884802
JPIE,2019-03,0.2188331592170455,414.5601473884802
JPIE,2019-04,0.2188331592170455,414.5601473884802
JPIE,2019-05,0.2188331592170455,414.5601473884802
JPIE,2019-06,0.2188331592170455,414.5601473884802
JPIE,2019-07,0.2188331592170455,414.5601473884802
JPIE,2019-08,0.2188331592170455,414.5601473884802
JPIE,2019-09,0.2188331592170455,414.5601473884802
JPIE,2019-10,0.2188331592170455,414.5601473884802
JPIE,2019-11,0.20815837096255546,394.3377011744079
JPIE,2019-12,0.2188331592170455,414.5601473884801
JPIE,2020-01,0.20815837096255546,394.3377011744079
JPIE,2020-02,0.20815837096255546,394.3377011744079
JPIE,2020-03,0.20815837096255546,394.3377011744079
JPIE,2020-04,0.20815837096255546,394.3377011744079
JPIE,2020-05,0.20815837096255546,394.3377011744079
JPIE,2020-06,0.20815837096255546,394.3377011744079
JPIE,2020-07,0.20815837096255546,394.3377011744079
JPIE,2020-08,0.20815837096255546,394.3377011744079
JPIE,2020-09,0.20815837096255546,394.3377011744079
JPIE,2020-10,0.18680879445357543,353.89280874626354
JPIE,2020-11,0.18680879445357543,353.89280874626354
JPIE,2020-12,0.24552012985327054,465.11626292366066
JPIE,2021-01,0.18680879445357543,353.89280874626354
JPIE,2021-02,0.17079661207184038,323.55913942515525
JPIE,2021-03,0.17079661207184038,323.55913942515525
JPIE,2021-04,0.17079661207184038,323.55913942515525
JPIE,2021-05,0.17079661207184038,323.55913942515525
JPIE,2021-06,0.17079661207184038,323.55913942515525
JPIE,2021-07,0.17079661207184038,323.55913942515525
JPIE,2021-08,0.17079661207184038,323.55913942515525
JPIE,2021-09,0.16012182381735035,303.336693211083
JPIE,2021-12,0.315,596.7397577889536
JPIE,2022-02,0.133,251.95678662200265
JPIE,2022-03,0.109,206.49090031427284
JPIE,2022-04,0.141,267.1120820579125
JPIE,2022-05,0.143,270.90090591689005
JPIE,2022-06,0.135,255.74561048098013
JPIE,2022-07,0.187,354.2550308143947
JPIE,2022-08,0.18,340.9941473079735
JPIE,2022-09,0.185,350.4662069554172
JPIE,2022-10,0.204,386.46003361570325
JPIE,2022-11,0.201,380.7767978272371
JPIE,2022-12,0.40900000000000003,774.8144791608953
JPIE,2023-02,0.209,395.932093263147
JPIE,2023-03,0.206,390.24885747468073
JPIE,2023-04,0.208,394.03768133365827
JPIE,2023-05,0.204,386.46003361570325
JPIE,2023-06,0.204,386.46003361570325
JPIE,2023-07,0.206,390.24885747468073
JPIE,2023-08,0.206,390.24885747468073
JPIE,2023-09,0.204,386.46003361570325
JPIE,2023-10,0.23,435.7147437824106
JPIE,2023-11,0.228,431.9259199234331
JPIE,2023-12,0.494,935.8394931674384
JPIE,2024-02,0.237,448.97562728883173
JPIE,2024-03,0.235,445.18680342985425
JPIE,2024-04,0.236,447.081215359343
JPIE,2024-05,0.234,443.29239150036557
JPIE,2024-06,0.235,445.18680342985425
JPIE,2024-07,0.236,447.081215359343
JPIE,2024-08,0.232,439.5035676413881
JPIE,2024-09,0.231,437.60915571189935
JPIE,2024-10,0.231,437.60915571189935
JPIE,2024-11,0.23,435.7147437824106
JPIE,2024-12,0.45,852.4853682699338
JPIE,2025-02,0.22,416.77062448752315
JPIE,2025-03,0.218,412.98180062854567
JPIE,2025-04,0.213,403.50974098110197
JPIE,2025-05,0.228,431.9259199234331
JPIE,2025-06,0.203,384.56562168621457
JPIE,2025-07,0.212,401.61532905161323
JPIE,2025-08,0.223,422.45386027598937
JPIE,2025-09,0.226,428.13709606445565
